film,year,release_date,mpaa,imdb_score,metacritic_score,rt_audience_score,rt_critic_score,bo,budget,running_time,stars_count,aabd,dga,noms,ggbp,winner
Forrest Gump,1994,1994-07-06,PG-13,8.8,82,95,72,677.9,55,142,5,1,1,19,1,1
Four Weddings and a Funeral,1994,1994-04-15,R,7.1,81,74,95,245.7,2.8,117,10,0,0,12,0,0
Pulp Fiction,1994,1994-10-14,R,8.9,94,96,94,213.9,88.5,154,12,1,0,17,0,0
Quiz Show,1994,1994-10-07,PG-13,7.5,88,87,96,24.8,31,133,5,1,0,11,0,0
The Shawshank Redemption,1994,1994-10-14,R,9.3,80,98,91,58.3,25,142,7,0,0,7,0,0
Apollo 13,1995,1995-06-30,PG,7.6,77,87,95,355.2,52,140,6,0,1,7,0,0
Babe,1995,1995-08-04,G,6.8,83,67,97,254.1,30,92,2,1,0,6,1,0
Braveheart,1995,1995-05-24,R,8.4,68,85,77,210.4,65.7,178,4,1,0,6,0,1
Sense and Sensibility,1995,1996-01-26,PG,7.7,84,90,98,13.4993774,16,136,4,0,0,17,1,0
The Postman (Il Postino),1995,1996-03-22,PG,7.7,81,94,93,2.1848932,3,108,3,0,0,1,0,0
Fargo,1996,1996-04-05,R,8.1,85,92,93,60.6,7,98,5,1,0,12,0,0
Jerry Maguire,1996,1996-12-13,R,7.3,77,79,83,273.6,50,138,7,0,0,7,0,0
Secrets and Lies,1996,1997-02-28,R,8,91,91,95,13.4,4.5,142,12,1,0,12,0,0
Shine,1996,1997-02-14,PG-13,7.7,87,90,91,35.9,6,105,5,1,0,15,0,0
The English Patient,1996,1996-12-06,R,7.4,87,83,84,232,27.31,162,8,1,1,19,1,1
As Good as It Gets,1997,1997-12-25,PG-13,7.7,67,86,84,314.1,50,139,6,0,0,10,1,0
Good Will Hunting,1997,1998-01-09,R,8.3,70,94,97,225.9,10,126,5,1,0,11,0,0
L.A. Confidential,1997,2003-09-01,NA,7.2,90,94,99,126.2,35,138,7,1,0,14,0,0
The Full Monty,1997,1997-09-19,R,7.2,75,79,96,258,3.5,91,3,1,0,11,0,0
Titanic,1997,1997-12-19,PG-13,7.8,75,69,88,2187.0000000000005,200,195,10,1,1,13,1,1
Elizabeth,1998,1999-02-19,R,7.5,75,86,82,82.1,30,123,5,0,0,9,0,0
Life Is Beautiful,1998,1999-02-12,PG-13,8.6,59,96,80,229.2,20,116,2,1,0,4,0,0
Saving Private Ryan,1998,1998-07-24,R,8.6,90,95,92,481.8,70,169,4,1,1,11,1,0
Shakespeare in Love,1998,1999-01-08,R,7.2,87,80,92,289.3,25,123,6,1,0,19,1,1
The Thin Red Line,1998,1999-01-15,R,7.6,78,80,79,98.1,52,170,11,1,0,3,0,0
American Beauty,1999,1999-10-01,R,8.4,86,93,88,356.3,15,122,8,1,1,19,1,1
The Cider House Rules,1999,2000-01-07,PG-13,7.4,75,77,71,88.5,24,125,11,1,0,9,0,0
The Green Mile,1999,1999-12-10,R,8.5,61,94,80,290.7,60,189,13,0,0,5,0,0
The Insider,1999,1999-11-05,R,7.9,84,90,96,60.2,68,157,7,1,0,9,0,0
The Sixth Sense,1999,1999-08-06,PG-13,8.1,64,90,85,672.8,40,107,4,1,0,9,0,0
Chocolat,2000,2001-01-19,PG-13,7.3,64,83,62,15.2699946,25,121,10,0,0,12,0,0
"Crouching Tiger, Hidden Dragon",2000,2001-01-12,PG-13,7.9,93,86,97,213.5,17,120,6,1,1,6,0,0
Erin Brockovich,2000,2000-03-17,R,7.3,73,80,84,256.3,52,130,3,1,0,13,0,0
Gladiator,2000,2000-05-05,R,8.5,67,87,76,457.6,103,155,7,1,0,12,1,1
Traffic,2000,2001-01-05,R,7.6,86,85,92,207.5,48,147,5,1,0,13,0,0
A Beautiful Mind,2001,2002-01-04,PG-13,8.2,72,93,75,313,58,135,9,1,1,16,1,1
Gosford Park,2001,2002-01-18,R,7.3,90,78,86,87.8,19.8,137,16,1,0,11,0,0
In the Bedroom,2001,2002-02-08,R,7.5,86,81,93,43.4,1.7,131,4,0,0,10,0,0
Moulin Rouge!,2001,2001-06-01,PG-13,7.6,66,89,76,179.2,52,128,6,0,0,9,1,0
The Lord of the Rings: The Fellowship of the Ring,2001,2001-12-19,PG-13,8.8,92,95,91,871.5,93,178,15,1,0,10,0,0
Chicago,2002,2003-01-24,PG-13,7.2,82,83,85,306.8,45,113,5,1,1,21,1,1
Gangs of New York,2002,2002-12-20,R,7.5,72,81,75,193.8,100,168,7,1,0,10,0,0
The Hours,2002,2003-02-14,PG-13,7.6,80,84,80,108.8,25,114,11,1,0,20,1,0
The Lord of the Rings: The Two Towers,2002,2002-12-18,PG-13,8.7,87,95,95,926,94,179,18,0,0,5,0,0
The Pianist,2002,2003-03-28,R,8.5,85,95,96,120.1,35,150,6,1,0,10,0,0
Lost in Translation,2003,2003-10-03,R,7.8,89,85,95,119.7,4,101,5,1,0,13,1,0
Master and Commander: The Far Side of the World,2003,2003-11-14,PG-13,7.4,81,80,84,212,150,138,6,1,0,7,0,0
Mystic River,2003,2003-10-15,R,8,84,89,88,156.8,30,137,6,1,0,15,0,0
Seabiscuit,2003,2003-07-25,PG-13,7.3,72,76,77,148.3,87,141,6,0,0,6,0,0
The Lord of the Rings: The Return of the King,2003,2003-12-17,PG-13,8.9,94,86,93,1120,94,200,19,1,1,9,1,1
Finding Neverland,2004,2004-12-17,PG,7.7,67,87,82,116.8,25,101,5,0,0,14,0,0
Million Dollar Baby,2004,2005-01-28,PG-13,8.1,86,90,90,216.8,30,132,2,1,1,9,0,1
Ray,2004,2004-10-29,PG-13,7.7,73,87,81,124.7,40,152,8,1,0,8,0,0
Sideways,2004,2005-01-21,R,7.5,94,78,96,109.7,16,127,4,1,0,14,1,0
The Aviator,2004,2004-12-25,PG-13,7.5,77,79,87,213.7,110,170,7,1,0,16,1,0
Brokeback Mountain,2005,2006-01-13,R,7.7,87,82,87,178.1,14,134,7,1,1,18,1,0
Capote,2005,2006-02-03,R,7.4,88,81,90,49.2,7,114,7,1,0,12,0,0
Crash,2005,2005-05-06,R,7.8,69,88,74,98.4,6.5,112,10,1,0,14,0,1
"Good Night, and Good Luck",2005,2005-11-04,PG,7.5,80,83,93,56.5,7,93,6,1,0,12,0,0
Munich,2005,2006-01-06,R,7.6,74,83,77,130.4,70,163,7,1,0,5,0,0
Babel,2006,2006-11-10,R,7.5,69,77,69,135.3,25,143,6,1,0,14,1,0
Letters from Iwo Jima,2006,2007-02-02,R,7.9,89,86,91,68.7,19,140,5,1,0,2,0,0
Little Miss Sunshine,2006,2006-08-18,R,7.8,80,91,91,100.5,8,101,6,0,0,10,0,0
The Departed,2006,2006-10-06,R,8.5,85,94,90,289.8,90,150,9,1,1,16,0,1
The Queen,2006,2006-11-17,PG-13,7.3,91,76,97,77.9,9.8,103,7,1,0,12,0,0
Atonement,2007,2008-01-11,R,7.8,85,80,83,129.3,30,123,5,0,0,14,1,0
Juno,2007,2007-12-25,PG-13,7.5,81,88,94,231.4,6.5,96,6,1,0,9,0,0
Michael Clayton,2007,2007-10-12,R,7.3,82,69,90,92.9,25,119,4,1,0,13,0,0
No Country for Old Men,2007,2007-11-21,R,8.1,91,86,93,171.6,25,122,3,1,1,16,0,1
There Will Be Blood,2007,2008-01-25,R,8.1,93,86,91,76.2,25,158,5,1,0,11,0,0
Frost/Nixon,2008,2009-01-23,R,7.7,80,88,92,27.4,25,122,8,1,0,13,0,0
Milk,2008,2009-01-30,R,7.6,84,89,94,54.6,20,128,9,1,0,9,0,0
Slumdog Millionaire,2008,2008-12-25,R,8,86,90,91,377.9,15,120,5,1,1,13,1,1
The Curious Case of Benjamin Button,2008,2008-12-25,PG-13,7.8,70,80,72,334,167,166,7,1,0,14,0,0
The Reader,2008,2009-01-30,R,7.6,58,79,62,108.4,32,124,5,1,0,12,0,0
A Serious Man,2009,2009-11-06,R,7,79,67,90,31.4,7,106,3,0,0,3,0,0
An Education,2009,2010-02-05,PG-13,7.3,85,80,95,26.1,7.5,100,7,0,0,10,0,0
Avatar,2009,2009-12-18,PG-13,7.8,83,82,83,2788.0000000000005,237,161,5,1,0,5,1,0
District 9,2009,2009-08-14,R,8,81,82,90,210.8,30,112,9,0,0,6,0,0
Inglourious Basterds,2009,2009-08-21,R,8.3,69,87,88,321.5,70,153,8,1,0,12,0,0
Precious: Based on the Novel 'Push' by Sapphire,2009,2009-11-20,R,7.3,79,81,91,63.6,10,110,6,1,0,3,0,0
The Blind Side,2009,2009-11-20,PG-13,7.7,53,85,67,309.2,29,126,7,0,0,3,0,0
The Hurt Locker,2009,2009-07-31,R,7.6,94,84,97,49.2,15,131,7,1,1,11,0,1
Up,2009,2009-05-29,PG,8.3,88,90,98,735.1,175,96,3,0,0,2,0,0
Up in the Air,2009,2009-12-23,R,7.4,83,79,91,166.8,25,109,4,1,0,13,0,0
127 Hours,2010,2011-01-28,R,7.6,82,85,93,60.7,18,93,3,0,0,9,0,0
Black Swan,2010,2010-12-17,R,8,79,84,87,329.4,13,108,5,1,0,13,0,0
Inception,2010,2010-07-16,PG-13,8.8,74,91,86,828.3,160,148,9,0,0,7,0,0
The Fighter,2010,2010-12-17,R,7.8,79,89,90,129.2,25,116,5,1,0,14,0,0
The Kids Are All Right,2010,2010-07-30,R,7,86,73,93,34.7,4,107,5,0,0,11,1,0
The King's Speech,2010,2010-12-25,R,8,88,92,95,414.2,15,119,8,1,1,18,0,1
The Social Network,2010,2010-10-01,PG-13,7.7,95,86,96,224.9,40,120,5,1,0,15,1,0
Toy Story 3,2010,2010-06-18,G,8.3,92,89,99,1067,200,103,12,0,0,3,0,0
True Grit,2010,2010-12-22,PG-13,7.6,80,85,95,252.3,38,110,5,1,0,9,0,0
Winter's Bone,2010,2010-07-16,R,7.2,90,75,94,16.1,2,100,7,0,0,5,0,0
Extremely Loud and Incredibly Close,2011,2012-01-20,PG-13,6.9,46,61,46,55.2,38,129,7,0,0,1,0,0
Hugo,2011,2011-11-23,PG,7.5,83,78,94,185.8,150,126,8,1,0,5,0,0
Midnight in Paris,2011,2011-06-10,PG-13,7.7,81,83,93,151.1,17,94,7,1,0,8,0,0
Moneyball,2011,2011-09-23,PG-13,7.6,87,86,94,110.2,50,133,3,0,0,12,0,0
The Artist,2011,2012-01-20,PG-13,7.9,89,87,95,133.4,15,100,2,1,1,15,1,1
The Descendants,2011,2011-12-09,R,7.3,84,79,89,177.2,20,115,6,1,0,13,1,0
The Help,2011,2011-08-10,PG-13,8.1,62,89,75,216.6,25,146,6,0,0,14,0,0
The Tree of Life,2011,2011-05-17,PG-13,6.8,85,60,84,54.3,32,139,3,1,0,2,0,0
War Horse,2011,2011-12-25,PG-13,7.2,72,74,76,177.6,66,146,5,0,0,2,0,0
Amour,2012,2012-09-20,PG-13,7.9,94,82,93,29.9,8.9,127,3,1,0,5,0,0
Argo,2012,2012-10-12,R,7.7,86,90,96,232.3,44.5,120,4,0,1,13,1,1
Beasts of the Southern Wild,2012,2012-07-05,PG-13,7.3,86,76,86,23.3,1.8,93,2,1,0,4,0,0
Django Unchained,2012,2012-12-25,R,8.4,81,91,87,425.4,100,165,9,0,0,9,0,0
Les Misrables,2012,2012-12-25,PG-13,7.6,63,79,69,441.8,61,158,4,0,0,10,1,0
Life of Pi,2012,2012-11-21,PG,7.9,79,84,87,609,120,127,6,1,0,7,0,0
Lincoln,2012,2012-11-16,PG-13,7.4,86,80,90,275.3,65,150,7,1,0,18,0,0
Silver Linings Playbook,2012,2012-12-25,R,7.8,81,86,92,236.4,21,122,7,1,0,15,0,0
Zero Dark Thirty,2012,2013-01-11,R,7.4,95,80,91,132.8,40,157,3,0,0,10,0,0
12 Years a Slave,2013,2013-11-08,R,8.1,96,90,96,187.7,17.1,134,9,1,0,19,1,1
American Hustle,2013,2013-12-20,R,7.3,90,74,93,251.2,40,138,5,1,0,18,1,0
Captain Phillips,2013,2013-10-11,PG-13,7.8,83,89,93,218.8,55,134,2,0,0,12,0,0
Dallas Buyers Club,2013,2013-11-22,R,8,84,91,93,55.2,5,116,6,0,0,6,0,0
Gravity,2013,2013-10-04,PG-13,7.8,96,80,96,723.2,100,91,2,1,1,9,0,0
Her,2013,2014-01-10,R,8,90,82,94,48.5,23,126,5,0,0,5,0,0
Nebraska,2013,2014-01-24,R,7.7,86,83,91,27.7,12,115,5,1,0,11,0,0
Philomena,2013,2013-11-27,PG-13,7.6,77,89,92,100.1,12,98,2,0,0,10,0,0
The Wolf of Wall Street,2013,2013-12-25,R,8.2,75,82,78,392,100,180,9,1,0,8,0,0
American Sniper,2014,2015-01-16,R,7.3,72,84,72,547.4,58.8,132,2,0,0,3,0,0
Birdman or (The Unexpected Virtue of Ignorance),2014,2014-11-14,R,7.8,88,77,92,103.2,16.5,119,7,0,1,3,0,1
Boyhood,2014,2014-08-15,R,7.9,100,80,97,44.5,4,165,4,1,0,15,1,0
Selma,2014,2015-01-09,PG-13,7.5,89,86,98,66.8,20,128,9,0,0,3,0,0
The Grand Budapest Hotel,2014,2014-03-28,R,8.1,88,86,91,174.8,23,100,17,1,0,11,1,0
The Imitation Game,2014,2014-12-25,PG-13,8,73,91,91,233.5,14,114,6,1,0,15,0,0
The Theory of Everything,2014,2014-11-26,PG-13,7.7,72,84,78,123.7,15,123,6,0,0,13,0,0
Whiplash,2014,2014-10-15,R,8.5,88,94,94,49,3.3,106,4,0,0,7,0,0
Bridge of Spies,2015,2015-10-16,PG-13,7.6,81,87,91,165.5,40,141,4,0,0,7,0,0
Brooklyn,2015,2015-11-25,PG-13,7.5,87,87,97,62.1,11,112,5,0,0,7,0,0
Mad Max: Fury Road,2015,2015-05-15,R,8.1,90,85,97,378.9,150,120,9,1,0,3,0,0
Room,2015,2016-01-22,R,8.2,86,93,94,36.3,13,118,5,1,0,11,0,0
Spotlight,2015,2015-11-20,R,8.1,93,93,97,92.2,20,129,6,1,0,10,0,1
The Big Short,2015,2015-12-23,R,7.8,81,87,88,133.4,28,130,4,1,0,13,0,0
The Martian,2015,2015-10-02,PG-13,8,80,91,91,630.2,108,141,11,0,0,6,1,0
The Revenant,2015,2016-01-08,R,8,76,84,80,533,135,156,4,1,1,8,1,0
Arrival,2016,2016-11-11,PG-13,7.9,81,82,94,203.4,47,116,5,1,0,9,0,0
Fences,2016,2016-12-25,PG-13,7.2,79,75,94,64.4,24,139,7,0,0,8,0,0
Hacksaw Ridge,2016,2016-11-04,R,8.2,71,91,86,175.3,40,139,7,1,0,7,0,0
Hell or High Water,2016,2016-08-26,R,7.6,88,88,97,37.9,12,102,4,0,0,8,0,0
Hidden Figures,2016,2017-01-06,PG,7.8,74,93,93,236,25,127,6,0,0,6,0,0
La La Land,2016,2016-12-25,PG-13,8.1,93,81,92,446.1,30,128,4,1,1,14,1,0
Lion,2016,2017-01-06,PG-13,8.1,69,91,86,140.3,12,118,5,0,0,10,0,0
Manchester by the Sea,2016,2016-12-16,R,7.9,96,77,95,77.7,8.5,137,4,1,0,16,0,0
Moonlight,2016,2016-11-18,R,7.5,99,79,98,65,1.54,111,7,1,0,15,1,1
Call Me by Your Name,2017,2018-01-19,R,8.1,93,86,96,29.4,3.5,132,6,0,0,10,0,NA
Darkest Hour,2017,2017-12-22,PG-13,7.4,75,83,86,136.2,30,125,6,0,0,6,0,NA
Dunkirk,2017,2017-07-21,PG-13,8,94,81,93,525.6,100,106,11,1,0,5,0,NA
Get Out,2017,2017-02-24,R,7.7,84,87,99,255,4.5,103,7,1,0,8,0,NA
Lady Bird,2017,2017-12-01,R,7.6,94,80,99,53.4,10,93,8,1,0,13,1,NA
Phantom Thread,2017,2018-01-19,R,7.8,90,70,91,34,35,130,3,1,0,5,0,NA
The Post,2017,2018-01-12,PG-13,7.3,83,73,88,146.6,50,116,8,0,0,6,0,NA
The Shape of Water,2017,2017-12-22,R,7.7,87,77,92,114.3,19.5,123,6,1,1,15,0,NA
"Three Billboards Outside Ebbing, Missouri",2017,2017-12-01,R,8.3,88,87,92,123.6,12,115,6,0,0,16,1,NA
