ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Area,Recommended,PatternType
100346,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,ruffles,C,1,solid
100348,Casual,Low,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,D,1,print
100349,vintage,Average,4.7,M,Spring,v-neck,sleevless,natural,chiffonfabric,other,sashes,A,1,geometric
100351,sexy,Average,0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,A,1,patchwork
100352,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,chiffon,embroidary,C,1,patchwork
100353,bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,chiffon,sashes,A,1,patchwork
100354,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,chiffon,button,B,0,character
100355,sexy,Medium,4.2,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,C,1,animal
100356,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,lace,C,0,print
100359,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,jersey,button,B,1,solid
100362,Casual,Average,0,free,Summer,o-neck,sleevless,natural,cotton,worsted,lace,D,0,floral
100363,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,broadcloth,applique,A,1,patchwork
100364,Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,A,0,solid
100366,Casual,Average,4.1,M,Automn,v-neck,full,natural,wool,chiffon,sashes,A,1,dot
100368,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,ruffles,D,0,patchwork
100369,party,High,4.6,M,winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,C,0,character
100370,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,E,1,leopard
100371,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,C,1,solid
100372,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,B,0,solid
100374,Sexy,Low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,broadcloth,sashes,A,1,solid
100375,Casual,Low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,woolen,sashes,A,0,print
100376,Casual,Average,4.9,M,Automn,v-neck,sleevless,natural,polyster,chiffon,applique,C,1,leapord
100378,Casual,Low,0,free,Winter,boat-neck,full,natural,other,other,lace,A,0,leopard
100379,vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,woolen,beading,B,0,print
100380,bohemian,Average,4.1,free,Summer,o-neck,thressqatar,natural,wool,chiffon,hollowout,B,0,patchwork
100381,Casual,High,0,L,winter,v-neck,thressqatar,natural,polyster,sattin,ruffles,C,1,solid
100383,Casual,Low,0,free,Spring,o-neck,short,natural,polyster,tulle,hollowout,A,0,solid
100384,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,E,0,patchwork
100385,Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,terry,lace,E,0,solid
100386,Casual,Average,3.5,M,winter,v-neck,short,natural,cashmere,satin,bow,B,0,solid
100387,Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,C,0,solid
100388,Sexy,Low,0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,B,0,solid
100389,Sexy,Average,0,S,Automn,slash-neck,short,natural,nylon,knitted,lace,B,0,solid
100390,cute,Low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,D,0,print
100391,Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,chiffon,hollowout,E,1,solid
100393,sexy,Low,4.3,M,Automn,open,short,natural,lace,other,lace,B,0,print
100395,Casual,Average,0,XL,Summer,o-neck,full,natural,cotton,shiffon,sashes,E,0,solid
100396,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,E,0,print
100397,Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,broadcloth,applique,B,0,animal
100398,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,bow,A,0,striped
100400,Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,chiffon,lace,B,1,solid
100401,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,natural,polyster,satin,ruffles,D,1,patchwork
100402,cute,Low,0,L,Spring,o-neck,sleevless,empire,cotton,chiffon,hollowout,B,1,solid
100403,Brief,Average,0,M,Automn,o-neck,short,natural,cotton,worsted,lace,A,0,print
100404,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,E,0,solid
100405,Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,tulle,sashes,D,0,solid
100407,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,lace,A,0,print
100408,Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,knitting,lace,B,0,solid
100409,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,knitting,lace,D,1,solid
100410,Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,E,1,patchwork
100411,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,chiffon,button,E,0,solid
100412,vintage,Average,4.6,M,Spring,v-neck,full,natural,cotton,chiffon,bow,A,0,dot
100413,Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,lace,C,0,solid
100414,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,woolen,embroidary,D,0,animal
100415,Casual,Low,0,S,Automn,o-neck,full,natural,polyster,other,beading,A,1,solid
100418,party,Average,4.8,M,Summer,o-neck,full,natural,cotton,satin,feathers,C,1,solid
100421,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,satin,lace,E,0,geometric
100422,Sexy,Low,4.6,free,Spring,o-neck,full,natural,polyster,knitting,lace,E,1,leopard
100424,party,Average,0,M,Summer,o-neck,full,natural,cotton,Corduroy,beading,B,1,patchwork
100425,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,cotton,knitting,pleat,E,1,solid
100426,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,jersey,sashes,D,1,solid
100427,Casual,Average,0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,lace,A,0,patchwork
100428,Casual,Average,0,free,Winter,v-neck,full,natural,cotton,chiffon,ruffles,D,0,print
100429,Sexy,Average,4.5,S,Winter,v-neck,sleevless,empire,polyster,satin,sashes,D,0,none
100430,party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,B,1,leapord
100431,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,D,1,solid
100432,Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,ruffles,D,0,plaid
100433,Casual,Low,4.7,S,summer,o-neck,full,natural,cotton,organza,sashes,A,0,patchwork
100434,Casual,Average,0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,A,0,solid
100435,vintage,Low,4.8,S,Summer,o-neck,short,natural,chiffonfabric,chiffon,ruffles,D,0,print
100437,cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,D,1,solid
100438,Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,chiffon,lace,A,0,character
100439,party,very-high,0,M,Winter,v-neck,cap-sleeves,natural,polyster,chiffon,lace,D,0,splice
100440,Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,B,1,solid
100443,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,broadcloth,ruffles,D,0,animal
100445,bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,chiffon,ruffles,B,0,dot
100446,Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,sashes,C,1,solid
100447,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,lace,knitting,lace,D,1,solid
100448,party,Average,4.7,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,D,0,floral
100450,Casual,Low,4.8,M,Winter,v-neck,sleevless,natural,polyster,chiffon,sashes,D,0,print
100451,Casual,Low,4.7,L,Automn,o-neck,full,natural,cotton,chiffon,lace,C,0,print
100452,Casual,Low,4.9,L,Summer,boat-neck,short,natural,modal,chiffon,lace,C,1,patchwork
100453,Casual,Low,4.4,free,winter,halter,sleevless,natural,wool,other,draped,A,1,striped
100454,vintage,Low,4.7,free,Summer,o-neck,full,empire,cotton,worsted,sashes,E,0,solid
100458,cute,Low,0,free,Winter,o-neck,sleevless,natural,polyster,chiffon,applique,B,0,leapord
100460,Casual,Low,4.5,free,Summer,o-neck,full,natural,cotton,chiffon,button,C,0,solid
100461,Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,other,worsted,sashes,E,0,solid
100463,vintage,Average,4.8,M,winter,turndowncollor,full,natural,cashmere,dobby,feathers,A,0,solid
100464,Casual,Average,5,M,Winter,o-neck,sleevless,natural,chiffonfabric,chiffon,sashes,D,1,solid
100465,Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,cascading,D,0,solid
100466,party,very-high,4.9,L,Spring,slash-neck,sleevless,natural,microfiber,chiffon,flowers,D,1,dot
100467,Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,sashes,A,1,solid
100469,Casual,Low,5,M,Spring,o-neck,sleevless,natural,spandex,jersey,applique,B,0,print
100471,Casual,Low,5,M,Automn,o-neck,sleevless,empire,cotton,chiffon,lace,C,1,print
100472,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,shiffon,hollowout,E,0,solid
100473,Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,E,1,solid
100475,Casual,Low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,sequined,A,0,floral
100477,party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,broadcloth,lace,E,1,leopard
100478,vintage,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,chiffon,Tiered,A,0,solid
100479,Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,broadcloth,beading,B,0,solid
100481,bohemian,Low,5,XL,Spring,v-neck,thressqatar,natural,acrylic,shiffon,beading,D,1,print
100483,Casual,Low,4.4,free,Summer,o-neck,sleevless,empire,cotton,other,sashes,E,0,animal
100484,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,modal,chiffon,lace,E,0,solid
100485,cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,broadcloth,lace,C,1,solid
100487,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,bow,C,1,striped
100488,Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,dobby,lace,A,0,patchwork
100489,Casual,Low,4.7,free,winter,o-neck,sleevless,natural,polyster,chiffon,crystal,A,1,floral
100491,Casual,Average,4.4,M,Summer,o-neck,short,empire,silk,broadcloth,lace,A,0,patchwork
100492,Casual,Average,4.8,M,Automn,v-neck,short,natural,silk,chiffon,embroidary,C,1,print
100493,Casual,Average,5,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,B,1,patchwork
100495,Sexy,Low,0,free,winter,v-neck,NULL,dropped,cotton,chiffon,lace,B,1,leopard
100496,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,D,0,dot
100497,Sexy,Low,4.8,free,Spring,v-neck,sleevless,natural,polyster,shiffon,sequined,C,1,solid
100498,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,satin,rivet,A,0,solid
100499,vintage,Low,0,free,Summer,o-neck,sleevless,natural,cotton,batik,lace,E,1,print
100501,Sexy,Average,0,free,Spring,v-neck,full,natural,cotton,wollen,lace,D,1,solid
100504,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,A,1,print
100505,Casual,Average,4.8,M,Spring,o-neck,sleevless,natural,cotton,chiffon,hollowout,D,0,print
100506,Casual,Average,0,free,Spring,o-neck,short,natural,cotton,other,lace,C,1,character
100508,Casual,Low,4.7,free,Summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,lace,D,1,print
100509,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,draped,D,0,solid
100511,sexy,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,A,1,solid
100513,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,chiffon,lace,E,1,patchwork
100514,party,High,4.7,M,Winter,Sweetheart,sleeveless,natural,silk,chiffon,flowers,E,0,leopard
100515,cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,lace,A,1,solid
100516,cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,sashes,D,0,solid
100517,Casual,Average,4.2,free,Summer,o-neck,sleevless,natural,cotton,worsted,applique,B,1,striped
100518,Casual,Average,4.7,M,Automn,o-neck,sleevless,empire,cotton,satin,button,B,1,animal
100519,vintage,Average,4.8,L,Summer,v-neck,short,natural,polyster,satin,hollowout,D,0,solid
100520,party,High,4.6,M,Summer,slash-neck,sleevless,natural,microfiber,chiffon,sashes,E,1,patchwork
100522,Casual,Average,4.7,L,Summer,v-neck,short,natural,viscos,chiffon,applique,B,1,print
100523,vintage,Average,0,M,Summer,v-neck,sleevless,natural,cotton,worsted,sashes,E,1,solid
100525,Casual,Low,0,free,Automn,peterpan-collor,threequarter,empire,cotton,sattin,ruffles,D,0,patchwork
100528,party,High,4.5,M,winter,o-neck,sleevless,empire,polyster,satin,lace,A,1,print
100529,bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,sill,chiffon,ruffles,D,1,solid
100531,bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,batik,sashes,B,0,solid
100533,sexy,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,D,0,print
100534,cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,A,0,patchwork
100535,Casual,Average,0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,C,1,solid
100536,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,worsted,ruffles,A,1,print
100537,cute,High,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,A,1,solid
100538,Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,lace,D,0,solid
100542,Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,sattin,plain,D,0,solid
100543,Casual,Low,0,free,Spring,v-neck,sleevless,empire,cotton,chiffon,applique,E,0,print
100545,cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,C,0,solid
100546,vintage,Average,0,L,Summer,sqare-collor,short,empire,cotton,chiffon,beading,E,1,dot
100547,Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,sashes,D,0,none
100548,Casual,Low,4.6,free,winter,o-neck,full,natural,polyster,broadcloth,applique,D,0,solid
100549,bohemian,Medium,5,free,Automn,o-neck,full,natural,modal,tulle,hollowout,E,1,patchwork
100550,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,D,0,solid
100552,cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,E,1,solid
100554,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,microfiber,lace,sashes,D,0,print
100555,Casual,Low,4.4,free,Spring,o-neck,sleevless,natural,polyster,lace,sashes,D,0,print
100556,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,A,0,solid
100557,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,E,0,solid
100558,Sexy,Low,4.4,free,Summer,bowneck,sleevless,natural,viscos,worsted,bow,E,0,solid
100559,Casual,Average,0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,B,0,solid
100560,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,chiffon,button,C,1,solid
100561,cute,High,0,M,Spring,v-neck,full,natural,rayon,terry,pockets,B,1,solid
100562,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,D,1,solid
100564,Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,E,0,patchwork
100565,Sexy,Low,4.4,free,Automn,o-neck,full,empire,cotton,broadcloth,sashes,D,0,leopard
100566,bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,chiffon,ruffles,E,0,solid
100568,bohemian,Low,4.8,free,Summer,o-neck,short,natural,cotton,chiffon,sashes,E,1,animal
100569,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,shiffon,none,D,0,patchwork
100571,cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,lace,E,0,print
100572,Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,flannael,lace,B,0,patchwork
100573,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,sashes,E,1,animal
100574,Casual,Low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,satin,lace,E,0,solid
100576,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,B,1,none
100577,Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,A,0,patchwork
100578,Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,woolen,lace,C,0,solid
100579,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,lace,B,1,solid
100581,Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,polyster,shiffon,sequined,B,0,solid
100583,bohemian,Average,4.8,L,Winter,o-neck,sleevless,natural,polyster,chiffon,Tiered,A,0,solid
100584,Casual,Average,4.7,M,Automn,v-neck,sleevless,natural,milksilk,chiffon,embroidary,E,1,striped
100585,Sexy,High,5,M,Summer,v-neck,sleevless,natural,mix,chiffon,pleat,D,0,striped
100587,vintage,Average,4.3,free,winter,o-neck,short,natural,chiffonfabric,chiffon,sashes,E,0,print
100588,Casual,Low,5,free,Spring,v-neck,full,natural,cotton,knitting,lace,C,1,solid
